name,count,oib_file
S3B_SR_2_LAN_SI_20190419T014452_20190419T021219_20230409T173722_1646_024_217______LN3_R_NT_005.SEN3,28,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20170404T124344_20170404T130452_20230411T091733_1267_016_138______LN3_R_NT_005.SEN3,27,IDCSI4_20170403.txt
S3A_SR_2_LAN_SI_20190405T202047_20190405T203908_20230529T073916_1101_043_171______LN3_R_NT_005.SEN3,27,IDCSI4_20190406.txt
S3A_SR_2_LAN_SI_20170321T053054_20170321T053920_20230410T133612_0505_015_319______LN3_R_NT_005.SEN3,27,IDCSI4_20170320.txt
S3A_SR_2_LAN_SI_20170407T195425_20170407T200934_20230411T132027_0908_016_185______LN3_R_NT_005.SEN3,26,IDCSI4_20170407.txt
S3A_SR_2_LAN_SI_20180406T205722_20180406T211731_20230502T002356_1209_029_371______LN3_R_NT_005.SEN3,26,IDCSI4_20180407.txt
S3A_SR_2_LAN_SI_20170406T202038_20170406T203859_20230411T120655_1101_016_171______LN3_R_NT_005.SEN3,26,IDCSI4_20170407.txt
S3A_SR_2_LAN_SI_20170410T220043_20170410T221724_20230411T173740_1001_016_229______LN3_R_NT_005.SEN3,26,IDCSI4_20170411.txt
S3B_SR_2_LAN_SI_20190419T201839_20190419T203707_20230408T105426_1108_024_228______LN3_R_NT_005.SEN3,25,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20170407T112622_20170407T114443_20230411T131439_1100_016_180______LN3_R_NT_005.SEN3,25,IDCSI4_20170406.txt
S3B_SR_2_LAN_SI_20190406T205534_20190406T211524_20230407T180306_1190_024_043______LN3_R_NT_005.SEN3,25,IDCSI4_20190406.txt
S3A_SR_2_LAN_SI_20170310T000927_20170310T003133_20230410T155550_1326_015_159______LN3_R_NT_005.SEN3,25,IDCSI4_20170310.txt
S3B_SR_2_LAN_SI_20190422T222508_20190422T224113_20230408T153958_0964_024_272______LN3_R_NT_005.SEN3,25,IDCSI4_20190422.txt
S3A_SR_2_LAN_SI_20190406T195435_20190406T200943_20230529T091408_0908_043_185______LN3_R_NT_005.SEN3,25,IDCSI4_20190406.txt
